date,BTC,ETH,XRP
2019-01-01,3797.14,139.1,0.3608
2019-01-02,3858.56,152.01,0.36882
2019-01-03,3766.78,146.3,0.3524
2019-01-04,3792.01,151.97,0.35308
2019-01-05,3770.96,152.83,0.34851
2019-01-06,3987.6,153.86,0.36042
2019-01-07,3975.45,149.34,0.36022
2019-01-08,3955.13,147.6,0.36073
2019-01-09,3966.65,148.1,0.3648
2019-01-10,3585.88,124.95,0.32464
2019-01-11,3601.31,124.65,0.3258
2019-01-12,3583.13,123.35,0.32557
2019-01-13,3476.81,114.16,0.31132
2019-01-14,3626.09,126.95,0.32871
2019-01-15,3553.06,118.95,0.3215
2019-01-16,3591.84,121.48,0.3257
2019-01-17,3616.21,121.54,0.32489
2019-01-18,3594.87,119.17,0.32036
2019-01-19,3665.3,122.6,0.3267
2019-01-20,3539.28,117.47,0.3168
2019-01-21,3526.9,115.63,0.31767
2019-01-22,3570.93,117.81,0.31762
2019-01-23,3552.82,116.44,0.31415
2019-01-24,3569.62,116.39,0.31593
2019-01-25,3565.29,115.11,0.31384
2019-01-26,3565.25,115.34,0.31258
2019-01-27,3550.84,112.05,0.30646
2019-01-28,3434.15,105.5,0.29223
2019-01-29,3411.04,104.45,0.28693
2019-01-30,3458.18,108.29,0.32109
2019-01-31,3434.1,106.44,0.30911
2019-02-01,3462.07,106.73,0.30624
2019-02-02,3504.77,110.42,0.3103
2019-02-03,3458.11,107.36,0.30219
2019-02-04,3463.22,107.68,0.29939
2019-02-05,3471.59,107.27,0.29972
2019-02-06,3405.37,104.5,0.2894
2019-02-07,3398.4,104.48,0.29145
2019-02-08,3659.04,119.25,0.31205
2019-02-09,3665.18,119.19,0.31215
2019-02-10,3680.06,125.12,0.30988
2019-02-11,3631.05,120.89,0.30255
2019-02-12,3631.46,122.41,0.30514
2019-02-13,3609.4,121.86,0.30382
2019-02-14,3590.56,120.42,0.30081
2019-02-15,3602.47,121.67,0.30194
2019-02-16,3618.41,122.67,0.30077
2019-02-17,3667.58,133.75,0.30318
2019-02-18,3898.6,145.69,0.32194
2019-02-19,3907.79,143.44,0.32238
2019-02-20,3969.74,148.44,0.3315
2019-02-21,3937.31,145.69,0.3207
2019-02-22,3962.0,147.36,0.32105
2019-02-23,4117.76,157.79,0.33201
2019-02-24,3743.56,132.1,0.29757
2019-02-25,3827.92,137.87,0.32731
2019-02-26,3809.23,136.22,0.31658
2019-02-27,3818.07,135.02,0.31067
2019-02-28,3813.69,135.34,0.3139
2019-03-01,3823.0,135.32,0.31564
2019-03-02,3819.93,132.56,0.31382
2019-03-03,3807.75,130.6,0.31114
