date,BTC,ETH,XRP
2019-01-01,88149249.09,54280385.6,14481148.63
2019-01-02,133876627.2,138801471.1,27033811.67
2019-01-03,111657372.7,104953535.1,21962305.24
2019-01-04,111034550.6,120827141.5,18261381.09
2019-01-05,115893501.3,120238339.8,18885957.01
2019-01-06,142198812.2,95681339.46,22444101.91
2019-01-07,126830380.5,64310962.92,25665344.46
2019-01-08,154778846.5,65535529.76,24413973.84
2019-01-09,115218950.3,44673066.39,24400079.84
2019-01-10,221789348.0,114437025.3,63015215.64
2019-01-11,137560743.6,67782816.34,24412830.45
2019-01-12,78908770.68,37295866.35,12579459.69
2019-01-13,92882249.47,49521201.28,17845500.58
2019-01-14,125631820.1,66801543.31,21107405.23
2019-01-15,122785440.2,79985529.56,17587679.76
2019-01-16,98504455.21,62314226.0,15670242.95
2019-01-17,106709137.0,53854069.21,15050768.29
2019-01-18,81699723.54,28305971.67,10280587.42
2019-01-19,81354185.9,39715159.16,14172186.91
2019-01-20,99767239.95,53833668.91,12957741.17
2019-01-21,69316548.77,35258073.43,9416171.524
2019-01-22,103804480.1,41777737.47,16317684.23
2019-01-23,88816396.35,26975386.39,11800940.37
2019-01-24,74037052.87,25044265.75,8561556.634
2019-01-25,62634926.46,22977175.95,7528099.419
2019-01-26,69841766.65,16978386.2,8782194.111
2019-01-27,80743416.85,28158012.73,12492573.54
2019-01-28,139258708.8,60050129.39,25369158.23
2019-01-29,100542807.5,33427469.35,13311591.58
2019-01-30,82521122.86,35368520.14,42202164.52
2019-01-31,101928347.0,31234353.52,54812345.83
2019-02-01,87075914.23,25791535.15,26700174.28
2019-02-02,62134037.98,20153872.3,13640816.1
2019-02-03,68801620.06,24605892.29,16968204.22
2019-02-04,80024258.23,17312736.6,13325536.77
2019-02-05,87491347.06,17137008.25,15853498.13
2019-02-06,120500703.0,34984364.3,17718861.64
2019-02-07,63611505.79,15530160.65,9626719.691
2019-02-08,170118212.5,67027886.94,28641390.67
2019-02-09,90488500.07,39061582.39,20290088.7
2019-02-10,84696423.96,45929459.13,19934978.57
2019-02-11,90731831.9,47197595.85,12728464.02
2019-02-12,106766440.0,41603632.81,15358313.92
2019-02-13,93350740.95,39073077.84,16721771.67
2019-02-14,78367545.58,36278326.08,11729954.92
2019-02-15,74938358.18,31111280.21,10832503.23
2019-02-16,70894921.81,26462034.61,9391385.05
2019-02-17,93426433.13,78958054.96,15070219.15
2019-02-18,242898012.8,152756654.6,54465043.95
2019-02-19,197091641.0,109645050.5,65840466.22
2019-02-20,142571564.6,89136482.37,33620034.42
2019-02-21,122714273.9,65199779.51,24112948.14
2019-02-22,94739322.75,53771600.8,15075900.29
2019-02-23,135782959.4,89997516.92,21374994.02
2019-02-24,244146803.5,186688063.4,53774945.9
2019-02-25,145285565.2,110348893.0,63766205.88
2019-02-26,109932596.1,58979934.72,50296752.49
2019-02-27,119564023.1,76519497.91,26836386.61
2019-02-28,124703738.4,78861797.56,25649682.97
2019-03-01,88851336.52,41198722.58,26450566.43
2019-03-02,74175357.78,39467507.69,15647042.15
2019-03-03,63791898.99,29447917.24,10959710.2
2019-03-04,129739738.2,51060349.77,16547698.38
2019-03-05,124945530.8,67740644.33,20428224.51
2019-03-06,95417637.59,58701328.65,21761325.64
2019-03-07,102585458.4,42271691.24,16092143.11
2019-03-08,135000852.0,44879637.39,16277504.81
2019-03-09,121353607.0,38220614.01,18838307.48
2019-03-10,90693949.72,27650702.38,13461275.94
2019-03-11,147721971.1,35285847.75,16045274.79
2019-03-12,104393849.4,25981446.1,10562743.78
2019-03-13,94680049.46,27670734.43,24765674.35
2019-03-14,104673038.8,34099414.81,16915000.62
2019-03-15,84919900.72,39928522.34,12556120.53
2019-03-16,114227606.4,66878173.45,18942070.28
2019-03-17,74893913.06,35051209.93,10588464.5
2019-03-18,89526258.39,39017864.92,14758458.44
2019-03-19,79503748.36,30175322.08,11923966.97
2019-03-20,94019734.23,30757997.81,19305865.15
2019-03-21,144010401.5,42635937.49,21207636.16
2019-03-22,79861943.81,25309122.73,12708277.25
2019-03-23,69169819.86,23922572.36,11050754.53
2019-03-24,68524082.75,27042322.7,10758082.15
2019-03-25,131507366.4,31082445.59,14470205.13
2019-03-26,115330071.0,24490323.06,13503616.09
2019-03-27,129681258.0,43635238.43,16995861.11
2019-03-28,80822230.58,22543474.61,10226441.24
2019-03-29,122585822.6,33098245.96,16151708.19
2019-03-30,79853835.58,36382647.23,20896399.78
2019-03-31,55472147.13,20131931.7,9842096.875
2019-04-01,105388238.1,33234998.64,13587510.98
2019-04-02,489018726.8,138094679.3,84753414.78
2019-04-03,548900970.9,225523896.2,113046169.8
2019-04-04,301411332.0,109082183.6,47714820.7
2019-04-05,197660830.7,84123101.33,100621892.7
2019-04-06,210963411.6,87657058.11,45233281.72
2019-04-07,192916750.6,78876773.3,39597409.59
2019-04-08,260487077.8,156417981.3,45648808.5
2019-04-09,175633627.3,75745619.57,23969116.48
2019-04-10,210870034.5,93283836.59,26594313.52
2019-04-11,277736905.9,110201659.9,46956927.98
2019-04-12,166485761.1,51556919.15,23275540.85
2019-04-13,87375984.44,29247030.15,21933335.56
2019-04-14,92594930.43,30640985.06,11897726.92
2019-04-15,147687551.9,57215098.11,19512733.39
2019-04-16,123581651.7,39245823.49,13974983.0
2019-04-17,120972345.5,37678036.6,34394029.84
2019-04-18,118573129.9,68031293.23,30166552.68
2019-04-19,128937309.6,54991300.11,18667104.95
2019-04-20,101343660.2,43939979.02,16621332.27
2019-04-21,133929931.2,47781349.4,18142346.66
2019-04-22,156632203.0,45832751.06,21587169.33
2019-04-23,227154061.9,62784241.17,17746937.17
2019-04-24,262493252.9,70076178.28,35150213.67
2019-04-25,265091565.6,67326464.65,26604585.69
2019-04-26,259659705.7,78334214.87,21424107.75
2019-04-27,81749716.42,34294278.0,9887345.47
2019-04-28,76277087.37,24304182.14,8317449.559
2019-04-29,104822151.5,37892463.29,11919113.76
2019-04-30,117309839.2,48352308.35,24312231.57
2019-05-01,92194935.6,30965351.7,14743040.14
2019-05-02,124498567.2,46716417.01,10088286.69
2019-05-03,264435878.9,69185162.6,21177888.51
2019-05-04,228942582.5,51596174.4,20447567.12
2019-05-05,137653160.8,28659516.79,9074790.741
2019-05-06,144358553.9,86112232.48,15374911.62
2019-05-07,236176663.8,129206700.1,17309502.39
2019-05-08,136245255.6,50307994.58,10250241.42
2019-05-09,167489934.3,48482365.54,12951571.85
2019-05-10,231801342.4,73717438.65,14747914.74
2019-05-11,507216001.3,167180496.8,60813200.23
2019-05-12,619939454.5,157611011.7,44648222.81
2019-05-13,648012612.3,131102303.1,43588295.04
2019-05-14,611103206.0,179717430.3,233868919.3
