date,BTC,ETH,XRP
2019-01-01,3701.23,131.45,0.34864
2019-01-02,3796.45,139.1,0.36057
2019-01-03,3857.57,152.01,0.3686
2019-01-04,3767.2,146.3,0.35255
2019-01-05,3790.09,152.08,0.35303
2019-01-06,3771.12,152.83,0.34851
2019-01-07,3987.62,153.89,0.36042
2019-01-08,3976.76,149.29,0.36015
2019-01-09,3955.45,147.62,0.36073
2019-01-10,3966.06,148.11,0.36479
2019-01-11,3585.88,124.96,0.32464
2019-01-12,3601.31,124.67,0.3258
2019-01-13,3584.1,123.35,0.32554
2019-01-14,3477.56,114.17,0.31139
2019-01-15,3626.08,126.95,0.3286
2019-01-16,3553.06,118.93,0.32154
2019-01-17,3591.84,121.49,0.3258
2019-01-18,3613.32,121.56,0.32468
2019-01-19,3594.87,119.16,0.32042
2019-01-20,3665.75,122.61,0.32672
2019-01-21,3539.26,117.56,0.31697
2019-01-22,3526.88,115.62,0.31766
2019-01-23,3570.41,117.8,0.31762
2019-01-24,3552.97,116.4,0.31422
2019-01-25,3569.07,116.4,0.31584
2019-01-26,3566.69,115.13,0.314
2019-01-27,3565.62,115.32,0.3126
2019-01-28,3550.05,112.04,0.30653
2019-01-29,3434.0,105.49,0.29223
2019-01-30,3410.04,104.41,0.28694
2019-01-31,3457.5,108.29,0.32118
2019-02-01,3434.1,106.47,0.3092
2019-02-02,3462.2,106.71,0.30628
2019-02-03,3504.06,110.41,0.31042
2019-02-04,3458.11,107.33,0.30204
2019-02-05,3463.22,107.65,0.29932
2019-02-06,3471.57,107.28,0.29972
2019-02-07,3407.0,104.49,0.28934
2019-02-08,3398.4,104.48,0.29146
2019-02-09,3660.27,119.32,0.31195
2019-02-10,3665.18,119.19,0.31218
2019-02-11,3679.75,125.12,0.30985
2019-02-12,3631.05,120.88,0.30243
2019-02-13,3631.51,122.4,0.3051
2019-02-14,3608.34,121.86,0.30387
2019-02-15,3590.57,120.47,0.30082
2019-02-16,3602.49,121.66,0.30195
2019-02-17,3617.22,122.67,0.30084
2019-02-18,3667.62,133.77,0.3031
2019-02-19,3897.35,145.69,0.32188
2019-02-20,3907.35,143.45,0.3225
2019-02-21,3969.74,148.42,0.33139
2019-02-22,3937.31,145.68,0.32064
2019-02-23,3962.0,147.4,0.32102
2019-02-24,4118.0,157.75,0.33201
2019-02-25,3743.56,132.1,0.29757
2019-02-26,3828.44,137.88,0.3274
2019-02-27,3809.31,136.22,0.31663
2019-02-28,3818.04,135.03,0.31054
2019-03-01,3814.26,135.32,0.31386
2019-03-02,3822.17,135.32,0.31565
2019-03-03,3819.97,132.54,0.31389
2019-03-04,3807.32,130.6,0.31115
2019-03-05,3716.1,125.68,0.30197
2019-03-06,3857.58,136.71,0.31473
2019-03-07,3861.84,137.37,0.31628
2019-03-08,3873.63,136.82,0.31324
2019-03-09,3864.88,133.51,0.3078
2019-03-10,3943.43,137.27,0.31395
2019-03-11,3915.99,135.37,0.31279
2019-03-12,3871.61,132.67,0.30991
2019-03-13,3882.69,133.62,0.3103
2019-03-14,3866.0,131.69,0.31345
2019-03-15,3877.12,132.24,0.31131
2019-03-16,3924.46,136.6,0.31485
2019-03-17,4005.98,140.94,0.31866
2019-03-18,3981.85,138.67,0.31546
2019-03-19,3987.83,137.62,0.31451
2019-03-20,4017.48,138.56,0.31581
2019-03-21,4043.04,139.04,0.3178
2019-03-22,3980.85,134.85,0.30965
2019-03-23,3987.89,135.92,0.31041
2019-03-24,4006.01,137.28,0.31174
2019-03-25,3991.35,136.12,0.30792
2019-03-26,3935.47,133.97,0.30296
2019-03-27,3948.77,134.14,0.303
2019-03-28,4039.58,139.46,0.30986
2019-03-29,4028.22,137.85,0.30603
2019-03-30,4104.24,143.25,0.30775
2019-03-31,4106.99,142.44,0.31092
2019-04-01,4102.44,141.41,0.30889
