,equity
2021-06-30,1.0
2021-07-01,1.0
2021-07-02,1.0
2021-07-03,1.0
2021-07-04,1.0
2021-07-05,1.0
2021-07-06,1.0
2021-07-07,1.0
2021-07-08,1.0
2021-07-09,1.0
2021-07-10,1.0
2021-07-11,1.0
2021-07-12,1.0
2021-07-13,1.0
2021-07-14,1.0
2021-07-15,1.0
2021-07-16,1.0
2021-07-17,1.0
2021-07-18,1.0
2021-07-19,1.0
2021-07-20,1.0
2021-07-21,1.0
2021-07-22,1.0
2021-07-23,1.0
2021-07-24,1.0
2021-07-25,1.0
2021-07-26,1.0
2021-07-27,1.0
2021-07-28,1.0
2021-07-29,1.0
2021-07-30,1.0
2021-07-31,1.0
2021-08-01,1.0
2021-08-02,1.0
2021-08-03,1.0
2021-08-04,1.0
2021-08-05,1.0
2021-08-06,1.0
2021-08-07,1.0
2021-08-08,1.0
2021-08-09,1.0
2021-08-10,1.0
2021-08-11,1.0599294402837929
2021-08-12,1.0401583358676114
2021-08-13,1.0952952809922887
2021-08-14,1.1792669379509024
2021-08-15,1.1813995514609625
2021-08-16,1.1376809745047316
2021-08-17,1.0987163484980098
2021-08-18,1.1188428884992012
2021-08-19,1.1595402629828468
2021-08-20,1.1720693673544496
2021-08-21,1.1511430972869856
2021-08-22,1.1556749009958631
2021-08-23,1.1644275022767347
2021-08-24,1.115377391545354
2021-08-25,1.1323494407295818
2021-08-26,1.0868981152964272
2021-08-27,1.1404800297366855
2021-08-28,1.1200869130467364
2021-08-29,1.1178210111922977
2021-08-30,1.0997826552530399
2021-08-31,1.137725403952858
2021-09-01,1.1408610789467988
2021-09-02,1.1440577041364883
2021-09-03,1.1510491533817742
2021-09-04,1.1443381098548822
2021-09-05,1.1542083911423442
2021-09-06,1.169499849652087
2021-09-07,1.1208588043680396
2021-09-08,1.115362852287521
2021-09-09,1.1129326693947745
2021-09-10,1.1070254555939447
2021-09-11,1.111418478515448
2021-09-12,1.1187838020519254
2021-09-13,1.1087265836188673
2021-09-14,1.1147085722779353
2021-09-15,1.1192698386304747
2021-09-16,1.1135682556898006
2021-09-17,1.1090630704809399
2021-09-18,1.1107455047913029
2021-09-19,1.1057355892893332
2021-09-20,1.0820506529423355
2021-09-21,1.0732085259556505
2021-09-22,1.0710034655303908
2021-09-23,1.0710034655303908
2021-09-24,1.0710034655303908
2021-09-25,1.0710034655303908
2021-09-26,1.0710034655303908
2021-09-27,1.0710034655303908
2021-09-28,1.0710034655303908
2021-09-29,1.0710034655303908
2021-09-30,1.0710034655303908
2021-10-01,1.0710034655303908
2021-10-02,1.0710034655303908
2021-10-03,1.0710034655303908
2021-10-04,1.0710034655303908
2021-10-05,1.0710034655303908
2021-10-06,1.0710034655303908
2021-10-07,1.0710034655303908
2021-10-08,1.0710034655303908
2021-10-09,1.0710034655303908
2021-10-10,1.0710034655303908
2021-10-11,1.0710034655303908
2021-10-12,1.0710034655303908
2021-10-13,1.0713599759541217
2021-10-14,1.0730487642730795
2021-10-15,1.0751805134625836
2021-10-16,1.0732425596539434
2021-10-17,1.0621962229446944
2021-10-18,1.0589570715788246
2021-10-19,1.0612826161491926
2021-10-20,1.0763432857477673
2021-10-21,1.0605904897889638
2021-10-22,1.0605628047345546
2021-10-23,1.0619193724006026
2021-10-24,1.0587909612523694
2021-10-25,1.0623900183255581
2021-10-26,1.0658229650722921
2021-10-27,1.0346772788620038
2021-10-28,1.052091178085356
2021-10-29,1.0589017014700057
2021-10-30,1.0594830876125978
2021-10-31,1.0672902729559766
2021-11-01,1.0613933563668287
2021-11-02,1.0734086699803977
2021-11-03,1.0994121159492485
2021-11-04,1.0959589943355803
2021-11-05,1.0809005361646362
2021-11-06,1.0783729935401989
2021-11-07,1.1028652375629162
2021-11-08,1.1248299389611967
2021-11-09,1.1161437361391864
2021-11-10,1.0923278767624447
2021-11-11,1.1008716828168812
2021-11-12,1.0916514921164684
2021-11-13,1.0919718848435096
2021-11-14,1.0915090953488944
2021-11-15,1.0858488238378303
2021-11-16,1.0558387050716225
2021-11-17,1.0585442436555272
2021-11-18,1.0390714856897911
2021-11-19,1.0563726929500248
2021-11-20,1.0589714339582492
2021-11-21,1.0448741539684292
2021-11-22,1.0372203277113299
2021-11-23,1.0481492796226297
2021-11-24,1.0323397432783188
2021-11-25,1.0373302975757612
2021-11-26,0.990811202160316
2021-11-27,0.9933955963500629
2021-11-28,1.0038668486705893
2021-11-29,1.0132686964988067
2021-11-30,1.0170561707424013
2021-12-01,1.0133132550193196
2021-12-02,1.0051590457654627
2021-12-03,0.982656992906459
2021-12-04,0.9487034002756456
2021-12-05,0.9307017579884426
2021-12-06,0.9400590472961471
2021-12-07,0.9355586367243462
2021-12-08,0.9564120243243734
2021-12-09,0.954674242024371
2021-12-10,0.9283401564012599
2021-12-11,0.9461635646064112
2021-12-12,0.946208123126924
2021-12-13,0.9205869738320188
2021-12-14,0.9332861521781893
2021-12-15,0.922847852343793
2021-12-16,0.922847852343793
2021-12-17,0.922847852343793
2021-12-18,0.922847852343793
2021-12-19,0.922847852343793
2021-12-20,0.922847852343793
2021-12-21,0.922847852343793
2021-12-22,0.922847852343793
2021-12-23,0.922847852343793
2021-12-24,0.922847852343793
2021-12-25,0.922847852343793
2021-12-26,0.922847852343793
2021-12-27,0.922847852343793
2021-12-28,0.922847852343793
2021-12-29,0.922847852343793
2021-12-30,0.922847852343793
2021-12-31,0.922847852343793
2022-01-01,0.922847852343793
2022-01-02,0.922847852343793
2022-01-03,0.922847852343793
2022-01-04,0.922847852343793
2022-01-05,0.922847852343793
2022-01-06,0.922847852343793
2022-01-07,0.922847852343793
2022-01-08,0.922847852343793
2022-01-09,0.922847852343793
2022-01-10,0.922847852343793
2022-01-11,0.922847852343793
2022-01-12,0.922847852343793
2022-01-13,0.922847852343793
2022-01-14,0.922847852343793
2022-01-15,0.922847852343793
2022-01-16,0.922847852343793
2022-01-17,0.922847852343793
2022-01-18,0.922847852343793
2022-01-19,0.922847852343793
2022-01-20,0.922847852343793
2022-01-21,0.922847852343793
2022-01-22,0.922847852343793
2022-01-23,0.922847852343793
2022-01-24,0.922847852343793
2022-01-25,0.922847852343793
2022-01-26,0.922847852343793
2022-01-27,0.922847852343793
2022-01-28,0.922847852343793
2022-01-29,0.922847852343793
2022-01-30,0.922847852343793
2022-01-31,0.922847852343793
2022-02-01,0.922847852343793
2022-02-02,0.922847852343793
2022-02-03,0.922847852343793
2022-02-04,0.922847852343793
2022-02-05,0.922847852343793
2022-02-06,0.922847852343793
2022-02-07,0.922847852343793
2022-02-08,0.922847852343793
2022-02-09,0.922847852343793
2022-02-10,0.922847852343793
2022-02-11,0.922847852343793
2022-02-12,0.922847852343793
2022-02-13,0.922847852343793
2022-02-14,0.922847852343793
2022-02-15,0.922847852343793
2022-02-16,0.922847852343793
2022-02-17,0.922847852343793
2022-02-18,0.922847852343793
